title	rating
Gandhi (1982)	4.02051282051282
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	4.252577319587629
Face/Off (1997)	3.768041237113402
Tin Cup (1996)	3.160621761658031
Mrs. Doubtfire (1993)	3.4114583333333335
This Is Spinal Tap (1984)	3.905759162303665
Sabrina (1995)	3.5
Boogie Nights (1997)	3.5873015873015874
Devil's Advocate, The (1997)	3.515957446808511
Lone Star (1996)	4.053475935828877
Long Kiss Goodnight, The (1996)	3.4702702702702704
Ulee's Gold (1997)	3.760869565217391
Mighty Aphrodite (1995)	3.4184782608695654
Postino, Il (1994)	3.9672131147540983
Unforgiven (1992)	3.868131868131868
Taxi Driver (1976)	4.1208791208791204
Dave (1993)	3.65
Fly Away Home (1996)	3.6
Tomorrow Never Dies (1997)	3.4277777777777776
Annie Hall (1977)	3.911111111111111
North by Northwest (1959)	4.284916201117318
Vertigo (1958)	4.251396648044692
Clear and Present Danger (1994)	3.569832402234637
Primal Fear (1996)	3.601123595505618
Mary Poppins (1964)	3.7247191011235956
Emma (1996)	3.7175141242937855
That Thing You Do! (1996)	3.465909090909091
Much Ado About Nothing (1993)	4.0625
Cop Land (1997)	3.3771428571428572
Quiz Show (1994)	3.645714285714286
G.I. Jane (1997)	3.36
Fantasia (1940)	3.7701149425287355
Rumble in the Bronx (1995)	3.4482758620689653
Monty Python's Life of Brian (1979)	3.7471264367816093
Lawrence of Arabia (1962)	4.23121387283237
My Best Friend's Wedding (1997)	3.36046511627907
Snow White and the Seven Dwarfs (1937)	3.7093023255813953
Glory (1989)	4.076023391812866
Gone with the Wind (1939)	3.871345029239766
Cape Fear (1991)	3.456140350877193
Heathers (1989)	3.690058479532164
Star Trek III: The Search for Spock (1984)	3.111111111111111
Big Night (1996)	3.9005847953216373
Ghost (1990)	3.4647058823529413
Full Metal Jacket (1987)	3.6823529411764704
Grease (1978)	3.347058823529412
Clueless (1995)	3.458823529411765
Mother (1996)	3.1301775147928996
In the Line of Fire (1993)	3.7928994082840237
Sleepers (1996)	3.514792899408284
Everyone Says I Love You (1996)	3.2738095238095237
Piano, The (1993)	3.6011904761904763
Die Hard 2 (1990)	3.355421686746988
Bridge on the River Kwai, The (1957)	4.175757575757576
Cool Hand Luke (1967)	3.9939024390243905
American President, The (1995)	3.6280487804878048
Pretty Woman (1990)	3.323170731707317
Nutty Professor, The (1996)	2.914110429447853
Birds, The (1963)	3.808641975308642
Secrets & Lies (1996)	4.265432098765432
Kingpin (1996)	3.1296296296296298
While You Were Sleeping (1995)	3.549382716049383
George of the Jungle (1997)	2.685185185185185
Star Trek VI: The Undiscovered Country (1991)	3.279503105590062
First Wives Club, The (1996)	3.01875
Apt Pupil (1998)	4.1
Grosse Pointe Blank (1997)	3.675
Lost World: Jurassic Park, The (1997)	2.9430379746835444
Dragonheart (1996)	3.0822784810126582
Right Stuff, The (1983)	3.917197452229299
Swingers (1996)	3.828025477707006
Executive Decision (1996)	3.356687898089172
Beavis and Butt-head Do America (1996)	2.7884615384615383
Seven Years in Tibet (1997)	3.458064516129032
Crimson Tide (1995)	3.6298701298701297
Highlander (1986)	3.5359477124183005
Fried Green Tomatoes (1991)	3.764705882352941
African Queen, The (1951)	4.184210526315789
Abyss, The (1989)	3.589403973509934
Die Hard: With a Vengeance (1995)	3.2847682119205297
Firm, The (1993)	3.2781456953642385
Remains of the Day, The (1993)	3.94
Sneakers (1992)	3.513333333333333
Professional, The (1994)	3.704697986577181
Happy Gilmore (1996)	3.389261744966443
Grumpier Old Men (1995)	3.0405405405405403
Clerks (1994)	3.804054054054054
Like Water For Chocolate (Como agua para chocolate) (1992)	3.804054054054054
Reservoir Dogs (1992)	3.9864864864864864
Donnie Brasco (1997)	3.802721088435374
Chinatown (1974)	4.136054421768708
River Wild, The (1994)	3.143835616438356
Rainmaker, The (1997)	3.6
Jackie Chan's First Strike (1996)	3.2551724137931033
Nightmare Before Christmas, The (1993)	3.5874125874125875
Spawn (1997)	2.6153846153846154
Kiss the Girls (1997)	3.4615384615384617
Batman Returns (1992)	2.683098591549296
Maltese Falcon, The (1941)	4.2101449275362315
Searching for Bobby Fischer (1993)	3.9057971014492754
Con Air (1997)	3.45985401459854
Singin' in the Rain (1952)	3.9927007299270074
Wag the Dog (1997)	3.510948905109489
Philadelphia (1993)	3.854014598540146
Good, The Bad and The Ugly, The (1966)	3.8613138686131387
Interview with the Vampire (1994)	3.1824817518248176
Home Alone (1990)	3.0875912408759123
Gattaca (1997)	3.5955882352941178
Sling Blade (1996)	4.198529411764706
Patton (1970)	3.9926470588235294
Peacemaker, The (1997)	3.2720588235294117
Crow, The (1994)	3.417910447761194
Room with a View, A (1986)	3.985074626865672
Multiplicity (1996)	2.8358208955223883
Ed Wood (1994)	3.601503759398496
Jungle2Jungle (1997)	2.4393939393939394
Manchurian Candidate, The (1962)	4.259541984732825
GoldenEye (1995)	3.2061068702290076
Mystery Science Theater 3000: The Movie (1996)	3.4307692307692306
Austin Powers: International Man of Mystery (1997)	3.246153846153846
Cinderella (1950)	3.5813953488372094
Mask, The (1994)	3.193798449612403
Bound (1996)	3.8217054263565893
Shine (1996)	3.9224806201550386
Ghost and the Darkness, The (1996)	3.203125
Father of the Bride Part II (1995)	2.8984375
Crash (1996)	2.546875
Last of the Mohicans, The (1992)	3.546875
Some Like It Hot (1959)	3.984375
Natural Born Killers (1994)	2.953125
Maverick (1994)	3.46875
Stargate (1994)	3.141732283464567
Absolute Power (1997)	3.37007874015748
Nikita (La Femme Nikita) (1990)	4.0078740157480315
Hunchback of Notre Dame, The (1996)	3.377952755905512
Event Horizon (1997)	2.574803149606299
Platoon (1986)	3.6929133858267718
James and the Giant Peach (1996)	3.126984126984127
Jackie Brown (1997)	3.642857142857143
Cold Comfort Farm (1995)	3.824
12 Angry Men (1957)	4.344
Lost Highway (1997)	3.136
My Fair Lady (1964)	3.816
Amistad (1997)	3.8548387096774195
Alien: Resurrection (1997)	3.096774193548387
Henry V (1989)	4.137096774193548
Ben-Hur (1959)	3.8306451612903225
Great Escape, The (1963)	4.104838709677419
Under Siege (1992)	3.2903225806451615
Dumbo (1941)	3.4959349593495936
Bonnie and Clyde (1967)	3.819672131147541
Cinema Paradiso (1988)	4.1735537190082646
Killing Fields, The (1984)	4.132231404958677
Harold and Maude (1971)	3.8181818181818183
Carrie (1976)	3.5041322314049586
Magnificent Seven, The (1954)	3.9421487603305785
My Left Foot (1989)	3.8512396694214877
Bram Stoker's Dracula (1992)	3.158333333333333
Net, The (1995)	3.0083333333333333
Deer Hunter, The (1978)	3.8333333333333335
Michael (1996)	3.319327731092437
Real Genius (1985)	3.6638655462184873
Crying Game, The (1992)	3.6218487394957983
Wrong Trousers, The (1993)	4.466101694915254
Kolya (1996)	3.9914529914529915
Star Trek: The Motion Picture (1979)	3.034188034188034
Hoop Dreams (1994)	4.094017094017094
Raging Bull (1980)	4.120689655172414
Star Trek: Generations (1994)	3.336206896551724
Being There (1979)	3.9051724137931036
Army of Darkness (1993)	3.4310344827586206
Beautiful Girls (1996)	3.391304347826087
Arsenic and Old Lace (1944)	4.078260869565217
Frighteners, The (1996)	3.234782608695652
What's Eating Gilbert Grape (1993)	3.5391304347826087
Pink Floyd - The Wall (1982)	3.3508771929824563
Batman Forever (1995)	2.6666666666666665
Rosewood (1997)	3.6666666666666665
Edge, The (1997)	3.5398230088495577
Welcome to the Dollhouse (1995)	3.7232142857142856
As Good As It Gets (1997)	4.196428571428571
One Fine Day (1996)	3.232142857142857
Close Shave, A (1995)	4.491071428571429
Nightmare on Elm Street, A (1984)	3.171171171171171
Adventures of Priscilla, Queen of the Desert, The (1994)	3.5945945945945947
Hudsucker Proxy, The (1994)	3.5545454545454547
101 Dalmatians (1996)	2.908256880733945
Tombstone (1993)	3.6666666666666665
Ice Storm, The (1997)	3.611111111111111
Conan the Barbarian (1981)	3.046728971962617
William Shakespeare's Romeo and Juliet (1996)	3.5943396226415096
Cable Guy, The (1996)	2.339622641509434
On Golden Pond (1981)	3.556603773584906
Scream 2 (1997)	3.2169811320754715
Mr. Smith Goes to Washington (1939)	4.123809523809523
Craft, The (1996)	3.1153846153846154
True Romance (1993)	3.6153846153846154
Outbreak (1995)	3.2403846153846154
Strictly Ballroom (1992)	4.028846153846154
Philadelphia Story, The (1940)	4.115384615384615
Ace Ventura: Pet Detective (1994)	3.0485436893203883
In the Name of the Father (1993)	3.911764705882353
Waterworld (1995)	2.803921568627451
Little Women (1994)	3.676470588235294
Benny & Joon (1993)	3.4607843137254903
Young Guns (1988)	3.207920792079208
Basic Instinct (1992)	3.227722772277228
Sex, Lies, and Videotape (1989)	3.4752475247524752
Down Periscope (1996)	2.702970297029703
Miracle on 34th Street (1994)	3.722772277227723
Pinocchio (1940)	3.6732673267326734
Mimic (1997)	2.742574257425743
Private Parts (1997)	3.53
Alien 3 (1992)	2.83
I Know What You Did Last Summer (1997)	3.06
Muriel's Wedding (1994)	3.55
American Werewolf in London, An (1981)	3.5353535353535355
Romy and Michele's High School Reunion (1997)	3.061224489795918
Dirty Dancing (1987)	3.1020408163265305
Streetcar Named Desire, A (1951)	3.816326530612245
Day the Earth Stood Still, The (1951)	3.9381443298969074
Desperado (1995)	3.4536082474226806
Spitfire Grill, The (1996)	3.804123711340206
Client, The (1994)	3.381443298969072
City of Lost Children, The (1995)	3.7916666666666665
Fierce Creatures (1997)	3.1145833333333335
Mrs. Brown (Her Majesty, Mrs. Brown) (1997)	3.9479166666666665
Jumanji (1995)	3.3125
So I Married an Axe Murderer (1993)	3.0526315789473686
Breakfast at Tiffany's (1961)	3.7263157894736842
Matilda (1996)	3.210526315789474
My Life as a Dog (Mitt liv som hund) (1985)	3.978494623655914
Space Jam (1996)	2.774193548387097
Duck Soup (1933)	4.0
Cliffhanger (1993)	3.021505376344086
2 Days in the Valley (1996)	3.225806451612903
Very Brady Sequel, A (1996)	2.3978494623655915
Rob Roy (1995)	3.5652173913043477
Money Talks (1997)	2.8152173913043477
Return of the Pink Panther, The (1974)	3.5543478260869565
Unbearable Lightness of Being, The (1988)	3.4565217391304346
Demolition Man (1993)	3.152173913043478
Michael Collins (1996)	3.4565217391304346
From Dusk Till Dawn (1996)	3.119565217391304
Casino (1995)	3.6483516483516483
Escape from New York (1981)	3.241758241758242
Escape from L.A. (1996)	2.4615384615384617
Bean (1997)	2.659340659340659
Madness of King George, The (1994)	3.769230769230769
Manhattan (1979)	3.769230769230769
Rosencrantz and Guildenstern Are Dead (1990)	3.888888888888889
Nixon (1995)	3.1222222222222222
Hamlet (1996)	4.011111111111111
Rebel Without a Cause (1955)	3.8555555555555556
Four Rooms (1995)	3.033333333333333
Evil Dead II (1987)	3.5168539325842696
Grifters, The (1990)	3.4831460674157304
Richard III (1995)	3.831460674157303
Three Musketeers, The (1993)	3.303370786516854
Miller's Crossing (1990)	3.651685393258427
High Noon (1952)	4.1022727272727275
Jackal, The (1997)	3.1494252873563218
Strange Days (1995)	3.264367816091954
Addams Family Values (1993)	2.8160919540229883
To Die For (1995)	3.2758620689655173
First Knight (1995)	3.0232558139534884
Beautician and the Beast, The (1997)	2.313953488372093
Bullets Over Broadway (1994)	3.7209302325581395
Cape Fear (1962)	3.5232558139534884
My Fellow Americans (1996)	3.1627906976744184
Copycat (1995)	3.302325581395349
Up Close and Personal (1996)	3.1882352941176473
Jungle Book, The (1994)	3.5647058823529414
Bob Roberts (1992)	3.7411764705882353
Omen, The (1976)	3.388235294117647
White Squall (1996)	3.4
French Kiss (1995)	3.3333333333333335
Muppet Treasure Island (1996)	2.761904761904762
Arrival, The (1996)	3.036144578313253
Three Colors: Red (1994)	4.0602409638554215
Juror, The (1996)	2.817073170731707
Mulholland Falls (1996)	2.8780487804878048
Cook the Thief His Wife & Her Lover, The (1989)	3.024390243902439
Somewhere in Time (1980)	3.426829268292683
Sleeper (1973)	3.6341463414634148
Sword in the Stone, The (1963)	3.3292682926829267
Santa Clause, The (1994)	3.097560975609756
Legends of the Fall (1994)	3.45679012345679
Alice in Wonderland (1951)	3.6666666666666665
Nell (1994)	3.4814814814814814
Crumb (1994)	3.7901234567901234
Picture Perfect (1997)	2.962962962962963
It Happened One Night (1934)	4.012345679012346
I.Q. (1994)	3.3209876543209877
Treasure of the Sierra Madre, The (1948)	4.1
Eat Drink Man Woman (1994)	4.05
Chain Reaction (1996)	2.7
Midnight in the Garden of Good and Evil (1997)	3.1625
Phantom, The (1996)	2.575
Man Who Would Be King, The (1975)	4.025
Better Off Dead... (1985)	3.569620253164557
Secret Garden, The (1993)	3.5443037974683542
Pump Up the Volume (1990)	3.4177215189873418
Dolores Claiborne (1994)	3.3417721518987342
City Hall (1996)	3.1392405063291138
Marvin's Room (1996)	3.58974358974359
Shadowlands (1993)	3.9358974358974357
Reality Bites (1994)	2.961038961038961
Victor/Victoria (1982)	3.3376623376623376
Crucible, The (1996)	3.3376623376623376
Breakdown (1997)	3.4025974025974026
Brady Bunch Movie, The (1995)	2.8026315789473686
Don Juan DeMarco (1995)	3.5526315789473686
Circle of Friends (1995)	3.486842105263158
Wings of the Dove, The (1997)	3.68
Winnie the Pooh and the Blustery Day (1968)	3.8
Vegas Vacation (1997)	2.4
Robin Hood: Prince of Thieves (1991)	3.2266666666666666
Smoke (1995)	3.6216216216216215
Breaking the Waves (1996)	3.72972972972973
Six Degrees of Separation (1993)	3.77027027027027
Sgt. Bilko (1996)	2.5675675675675675
Parent Trap, The (1961)	3.095890410958904
Big Sleep, The (1946)	4.027397260273973
Brothers McMullen, The (1995)	3.452054794520548
She's the One (1996)	3.0136986301369864
Heavy Metal (1981)	3.26027397260274
Hoodlum (1997)	2.9315068493150687
Seventh Seal, The (Sjunde inseglet, Det) (1957)	3.5416666666666665
Othello (1995)	3.611111111111111
Third Man, The (1949)	4.333333333333333
Angels and Insects (1995)	3.4166666666666665
20,000 Leagues Under the Sea (1954)	3.5
Desperate Measures (1998)	3.3194444444444446
Wedding Singer, The (1998)	3.486111111111111
Secret of Roan Inish, The (1994)	3.859154929577465
Things to Do in Denver when You're Dead (1995)	3.1549295774647885
How to Make an American Quilt (1995)	3.3380281690140845
Diabolique (1996)	2.887323943661972
Restoration (1995)	3.464788732394366
Jack (1996)	3.142857142857143
Enchanted April (1991)	3.9285714285714284
Ran (1985)	4.1
Heavenly Creatures (1994)	3.6714285714285713
Kull the Conqueror (1997)	2.63768115942029
Antonia's Line (1995)	3.9565217391304346
McHale's Navy (1997)	2.1884057971014492
Christmas Carol, A (1938)	4.057971014492754
Body Snatchers (1993)	2.971014492753623
Glengarry Glen Ross (1992)	3.463768115942029
Naked Gun 33 1/3: The Final Insult (1994)	2.782608695652174
Dumb & Dumber (1994)	3.0
Roman Holiday (1953)	4.102941176470588
Man Without a Face, The (1993)	3.5441176470588234
Preacher's Wife, The (1996)	2.926470588235294
Hot Shots! Part Deux (1993)	2.764705882352941
Cool Runnings (1993)	3.161764705882353
Dial M for Murder (1954)	4.0
Bringing Up Baby (1938)	3.838235294117647
Forbidden Planet (1956)	3.8358208955223883
Wolf (1994)	2.701492537313433
Striptease (1996)	2.2388059701492535
Private Benjamin (1980)	2.955223880597015
Adventures of Robin Hood, The (1938)	3.791044776119403
Bridges of Madison County, The (1995)	3.1641791044776117
Short Cuts (1993)	3.7761194029850746
Wallace & Gromit: The Best of Aardman Animation (1996)	4.447761194029851
Quiet Man, The (1952)	4.029850746268656
Anastasia (1997)	3.4242424242424243
Shallow Grave (1994)	3.8181818181818183
All About Eve (1950)	4.045454545454546
Cyrano de Bergerac (1990)	3.8181818181818183
Grand Day Out, A (1992)	4.106060606060606
Mirror Has Two Faces, The (1996)	3.3636363636363638
In the Company of Men (1997)	3.712121212121212
Tommy Boy (1995)	2.909090909090909
Hercules (1997)	3.515151515151515
Rebecca (1940)	3.9696969696969697
Diva (1981)	3.727272727272727
Jaws 2 (1978)	2.6666666666666665
Delicatessen (1991)	3.876923076923077
Deconstructing Harry (1997)	3.4
Candyman (1992)	2.723076923076923
Supercop (1992)	3.5384615384615383
Lawnmower Man, The (1992)	2.4461538461538463
Kids in the Hall: Brain Candy (1996)	3.076923076923077
Sunset Blvd. (1950)	4.2
Age of Innocence, The (1993)	3.3846153846153846
Dazed and Confused (1993)	3.46875
Night of the Living Dead (1968)	3.421875
Three Colors: Blue (1993)	4.015625
Eve's Bayou (1997)	3.609375
U Turn (1997)	3.359375
Old Yeller (1957)	3.484375
Rudy (1993)	3.3125
Jean de Florette (1986)	4.109375
Extreme Measures (1996)	3.171875
Fan, The (1996)	3.09375
Sabrina (1954)	3.796875
Stealing Beauty (1996)	3.375
Local Hero (1983)	3.9682539682539684
Jane Eyre (1996)	3.4761904761904763
Walk in the Clouds, A (1995)	3.2857142857142856
Star Trek V: The Final Frontier (1989)	2.3968253968253967
Immortal Beloved (1994)	3.4603174603174605
Apartment, The (1960)	3.9365079365079363
Forget Paris (1995)	3.193548387096774
Batman & Robin (1997)	2.4516129032258065
My Favorite Year (1982)	3.532258064516129
Cat on a Hot Tin Roof (1958)	3.9516129032258065
Homeward Bound: The Incredible Journey (1993)	3.2131147540983607
Fox and the Hound, The (1981)	3.1475409836065573
Thin Man, The (1934)	4.15
Weekend at Bernie's (1989)	2.6166666666666667
Bed of Roses (1996)	3.2333333333333334
Murder in the First (1995)	3.6
Father of the Bride (1950)	3.5833333333333335
Three Colors: White (1994)	3.864406779661017
Kalifornia (1993)	3.2203389830508473
Last Action Hero (1993)	2.7457627118644066
Sirens (1994)	2.983050847457627
Soul Food (1997)	3.169491525423729
Around the World in 80 Days (1956)	3.6610169491525424
East of Eden (1955)	3.864406779661017
39 Steps, The (1935)	4.0508474576271185
Mary Shelley's Frankenstein (1994)	3.0677966101694913
Some Kind of Wonderful (1987)	3.6610169491525424
Last Supper, The (1995)	3.4482758620689653
Postman, The (1997)	3.2241379310344827
Sophie's Choice (1982)	3.896551724137931
Home for the Holidays (1995)	3.1551724137931036
Raise the Red Lantern (1991)	4.155172413793103
Nine Months (1995)	2.9310344827586206
Ref, The (1994)	3.0344827586206895
Manon of the Spring (Manon des sources) (1986)	4.120689655172414
Red Corner (1997)	3.3859649122807016
Wings of Desire (1987)	4.0
Bad Boys (1995)	3.1052631578947367
Bananas (1971)	3.7017543859649122
Devil in a Blue Dress (1995)	3.3859649122807016
Daylight (1996)	2.7719298245614037
Bedknobs and Broomsticks (1971)	3.0701754385964914
Island of Dr. Moreau, The (1996)	2.1578947368421053
To Wong Foo, Thanks for Everything! Julie Newmar (1995)	2.8947368421052633
Robin Hood: Men in Tights (1993)	2.5892857142857144
His Girl Friday (1940)	4.0
Celluloid Closet, The (1995)	3.892857142857143
Black Sheep (1996)	2.6363636363636362
Looking for Richard (1996)	3.727272727272727
Tales from the Crypt Presents: Bordello of Blood (1996)	2.6363636363636362
Apostle, The (1997)	3.6545454545454548
Mallrats (1995)	3.4444444444444446
Addicted to Love (1997)	3.1666666666666665
Serial Mom (1994)	2.814814814814815
Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)	3.5555555555555554
Carlito's Way (1993)	3.4074074074074074
Aristocats, The (1970)	3.1296296296296298
Days of Thunder (1990)	2.7169811320754715
Flubber (1997)	2.7547169811320753
Koyaanisqatsi (1983)	3.490566037735849
Barcelona (1994)	3.018867924528302
Life Less Ordinary, A (1997)	3.0754716981132075
She's So Lovely (1997)	2.7358490566037736
Amityville Horror, The (1979)	2.5660377358490565
Last Man Standing (1996)	2.660377358490566
Casper (1995)	3.076923076923077
Excess Baggage (1997)	2.5384615384615383
Notorious (1946)	4.115384615384615
Man Who Knew Too Little, The (1997)	2.923076923076923
Red Rock West (1992)	3.5961538461538463
MatchMaker, The (1997)	3.176470588235294
Pocahontas (1995)	2.5294117647058822
Giant (1956)	3.7450980392156863
Tin Men (1987)	3.0784313725490198
Trees Lounge (1996)	3.24
American in Paris, An (1951)	3.7
Love Bug, The (1969)	2.78
Akira (1988)	3.38
Perfect World, A (1993)	3.68
Once Upon a Time in America (1984)	3.4
Wyatt Earp (1994)	3.1
To Catch a Thief (1955)	4.02
Menace II Society (1993)	3.46
Great White Hype, The (1996)	2.7551020408163267
Thinner (1996)	2.4489795918367347
Mortal Kombat (1995)	2.877551020408163
Kids (1995)	3.061224489795918
Before Sunrise (1995)	3.4081632653061225
Bulletproof (1996)	3.204081632653061
Substitute, The (1996)	2.693877551020408
Rocket Man (1997)	2.4081632653061225
Smilla's Sense of Snow (1997)	3.1666666666666665
Bronx Tale, A (1993)	3.7916666666666665
Booty Call (1997)	2.1666666666666665
Powder (1995)	3.2083333333333335
Beverly Hills Ninja (1997)	2.3125
Quick and the Dead, The (1995)	3.2083333333333335
Cat People (1982)	2.8958333333333335
Glimmer Man, The (1996)	2.75
Under Siege 2: Dark Territory (1995)	2.4583333333333335
Mad City (1997)	3.25531914893617
Up in Smoke (1978)	3.25531914893617
Waiting for Guffman (1996)	4.127659574468085
Sudden Death (1995)	2.723404255319149
Swimming with Sharks (1995)	3.574468085106383
Dangerous Minds (1995)	3.3404255319148937
Great Dictator, The (1940)	4.021739130434782
It Could Happen to You (1994)	3.652173913043478
Paris, Texas (1984)	3.5434782608695654
Malice (1993)	3.1739130434782608
With Honors (1994)	3.0652173913043477
Farewell My Concubine (1993)	3.9782608695652173
Blob, The (1958)	2.717391304347826
Shall We Dance? (1996)	4.260869565217392
Screamers (1995)	2.652173913043478
Nobody's Fool (1994)	3.608695652173913
Bride of Frankenstein (1935)	3.608695652173913
Doors, The (1991)	2.9782608695652173
Junior (1994)	3.022222222222222
What's Love Got to Do with It (1993)	3.488888888888889
Species (1995)	2.8666666666666667
Shadow, The (1994)	2.888888888888889
Blue in the Face (1995)	3.1777777777777776
Joe's Apartment (1996)	2.2444444444444445
Family Thing, A (1996)	3.5555555555555554
Citizen Ruth (1996)	3.6222222222222222
City Slickers II: The Legend of Curly's Gold (1994)	2.5454545454545454
When We Were Kings (1996)	4.045454545454546
To Gillian on Her 37th Birthday (1996)	3.0681818181818183
Bottle Rocket (1996)	3.4545454545454546
Sweet Hereafter, The (1997)	3.772727272727273
Mouse Hunt (1997)	2.477272727272727
M (1931)	4.0
Shadow Conspiracy (1997)	2.8636363636363638
Ridicule (1996)	3.7045454545454546
Persuasion (1995)	4.045454545454546
Basquiat (1996)	3.25
Fire Down Below (1997)	2.9318181818181817
Leave It to Beaver (1997)	1.8409090909090908
Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)	3.772727272727273
Nick of Time (1995)	3.0454545454545454
Fear (1996)	3.159090909090909
Young Guns II (1990)	2.772727272727273
Renaissance Man (1994)	3.0
Tales From the Crypt Presents: Demon Knight (1995)	2.9767441860465116
Mortal Kombat: Annihilation (1997)	1.9534883720930232
